,date,wm_yr_wk,weekday,wday,month,year,d,event_name_1,event_type_1,event_name_2,event_type_2,snap_CA,snap_TX,snap_WI,is_event
86,2011-04-25,11113,Monday,3,4,2011,d_87,No_Event,No_Event,No_Event,No_Event,0,0,0,0
87,2011-04-26,11113,Tuesday,4,4,2011,d_88,Pesach End,Religious,No_Event,No_Event,0,0,0,1
88,2011-04-27,11113,Wednesday,5,4,2011,d_89,No_Event,No_Event,No_Event,No_Event,0,0,0,0
89,2011-04-28,11113,Thursday,6,4,2011,d_90,No_Event,No_Event,No_Event,No_Event,0,0,0,0
90,2011-04-29,11113,Friday,7,4,2011,d_91,No_Event,No_Event,No_Event,No_Event,0,0,0,0
91,2011-04-30,11114,Saturday,1,4,2011,d_92,No_Event,No_Event,No_Event,No_Event,0,0,0,0
92,2011-05-01,11114,Sunday,2,5,2011,d_93,No_Event,No_Event,No_Event,No_Event,1,1,0,0
93,2011-05-02,11114,Monday,3,5,2011,d_94,No_Event,No_Event,No_Event,No_Event,1,0,1,0
94,2011-05-03,11114,Tuesday,4,5,2011,d_95,No_Event,No_Event,No_Event,No_Event,1,1,1,0
95,2011-05-04,11114,Wednesday,5,5,2011,d_96,No_Event,No_Event,No_Event,No_Event,1,0,0,0
96,2011-05-05,11114,Thursday,6,5,2011,d_97,Cinco De Mayo,Cultural,No_Event,No_Event,1,1,1,1
97,2011-05-06,11114,Friday,7,5,2011,d_98,No_Event,No_Event,No_Event,No_Event,1,1,1,0
98,2011-05-07,11115,Saturday,1,5,2011,d_99,No_Event,No_Event,No_Event,No_Event,1,1,0,0
99,2011-05-08,11115,Sunday,2,5,2011,d_100,Mother's day,Cultural,No_Event,No_Event,1,0,1,1
100,2011-05-09,11115,Monday,3,5,2011,d_101,No_Event,No_Event,No_Event,No_Event,1,1,1,0
101,2011-05-10,11115,Tuesday,4,5,2011,d_102,No_Event,No_Event,No_Event,No_Event,1,0,0,0
102,2011-05-11,11115,Wednesday,5,5,2011,d_103,No_Event,No_Event,No_Event,No_Event,0,1,1,0
103,2011-05-12,11115,Thursday,6,5,2011,d_104,No_Event,No_Event,No_Event,No_Event,0,1,1,0
104,2011-05-13,11115,Friday,7,5,2011,d_105,No_Event,No_Event,No_Event,No_Event,0,1,0,0
105,2011-05-14,11116,Saturday,1,5,2011,d_106,No_Event,No_Event,No_Event,No_Event,0,0,1,0
106,2011-05-15,11116,Sunday,2,5,2011,d_107,No_Event,No_Event,No_Event,No_Event,0,1,1,0
107,2011-05-16,11116,Monday,3,5,2011,d_108,No_Event,No_Event,No_Event,No_Event,0,0,0,0
108,2011-05-17,11116,Tuesday,4,5,2011,d_109,No_Event,No_Event,No_Event,No_Event,0,0,0,0
109,2011-05-18,11116,Wednesday,5,5,2011,d_110,No_Event,No_Event,No_Event,No_Event,0,0,0,0
110,2011-05-19,11116,Thursday,6,5,2011,d_111,No_Event,No_Event,No_Event,No_Event,0,0,0,0
111,2011-05-20,11116,Friday,7,5,2011,d_112,No_Event,No_Event,No_Event,No_Event,0,0,0,0
112,2011-05-21,11117,Saturday,1,5,2011,d_113,No_Event,No_Event,No_Event,No_Event,0,0,0,0
113,2011-05-22,11117,Sunday,2,5,2011,d_114,No_Event,No_Event,No_Event,No_Event,0,0,0,0
114,2011-05-23,11117,Monday,3,5,2011,d_115,No_Event,No_Event,No_Event,No_Event,0,0,0,0
115,2011-05-24,11117,Tuesday,4,5,2011,d_116,No_Event,No_Event,No_Event,No_Event,0,0,0,0
116,2011-05-25,11117,Wednesday,5,5,2011,d_117,No_Event,No_Event,No_Event,No_Event,0,0,0,0
117,2011-05-26,11117,Thursday,6,5,2011,d_118,No_Event,No_Event,No_Event,No_Event,0,0,0,0
118,2011-05-27,11117,Friday,7,5,2011,d_119,No_Event,No_Event,No_Event,No_Event,0,0,0,0
119,2011-05-28,11118,Saturday,1,5,2011,d_120,No_Event,No_Event,No_Event,No_Event,0,0,0,0
120,2011-05-29,11118,Sunday,2,5,2011,d_121,No_Event,No_Event,No_Event,No_Event,0,0,0,0
121,2011-05-30,11118,Monday,3,5,2011,d_122,MemorialDay,National,No_Event,No_Event,0,0,0,1
122,2011-05-31,11118,Tuesday,4,5,2011,d_123,NBAFinalsStart,Sporting,No_Event,No_Event,0,0,0,1
123,2011-06-01,11118,Wednesday,5,6,2011,d_124,No_Event,No_Event,No_Event,No_Event,1,1,0,0
124,2011-06-02,11118,Thursday,6,6,2011,d_125,No_Event,No_Event,No_Event,No_Event,1,0,1,0
125,2011-06-03,11118,Friday,7,6,2011,d_126,No_Event,No_Event,No_Event,No_Event,1,1,1,0
126,2011-06-04,11119,Saturday,1,6,2011,d_127,No_Event,No_Event,No_Event,No_Event,1,0,0,0
127,2011-06-05,11119,Sunday,2,6,2011,d_128,No_Event,No_Event,No_Event,No_Event,1,1,1,0
128,2011-06-06,11119,Monday,3,6,2011,d_129,No_Event,No_Event,No_Event,No_Event,1,1,1,0
129,2011-06-07,11119,Tuesday,4,6,2011,d_130,No_Event,No_Event,No_Event,No_Event,1,1,0,0
130,2011-06-08,11119,Wednesday,5,6,2011,d_131,No_Event,No_Event,No_Event,No_Event,1,0,1,0
131,2011-06-09,11119,Thursday,6,6,2011,d_132,No_Event,No_Event,No_Event,No_Event,1,1,1,0
132,2011-06-10,11119,Friday,7,6,2011,d_133,No_Event,No_Event,No_Event,No_Event,1,0,0,0
133,2011-06-11,11120,Saturday,1,6,2011,d_134,No_Event,No_Event,No_Event,No_Event,0,1,1,0
134,2011-06-12,11120,Sunday,2,6,2011,d_135,NBAFinalsEnd,Sporting,No_Event,No_Event,0,1,1,1
135,2011-06-13,11120,Monday,3,6,2011,d_136,No_Event,No_Event,No_Event,No_Event,0,1,0,0
136,2011-06-14,11120,Tuesday,4,6,2011,d_137,No_Event,No_Event,No_Event,No_Event,0,0,1,0
137,2011-06-15,11120,Wednesday,5,6,2011,d_138,No_Event,No_Event,No_Event,No_Event,0,1,1,0
138,2011-06-16,11120,Thursday,6,6,2011,d_139,No_Event,No_Event,No_Event,No_Event,0,0,0,0
139,2011-06-17,11120,Friday,7,6,2011,d_140,No_Event,No_Event,No_Event,No_Event,0,0,0,0
140,2011-06-18,11121,Saturday,1,6,2011,d_141,No_Event,No_Event,No_Event,No_Event,0,0,0,0
141,2011-06-19,11121,Sunday,2,6,2011,d_142,Father's day,Cultural,No_Event,No_Event,0,0,0,1
142,2011-06-20,11121,Monday,3,6,2011,d_143,No_Event,No_Event,No_Event,No_Event,0,0,0,0
143,2011-06-21,11121,Tuesday,4,6,2011,d_144,No_Event,No_Event,No_Event,No_Event,0,0,0,0
144,2011-06-22,11121,Wednesday,5,6,2011,d_145,No_Event,No_Event,No_Event,No_Event,0,0,0,0
145,2011-06-23,11121,Thursday,6,6,2011,d_146,No_Event,No_Event,No_Event,No_Event,0,0,0,0
146,2011-06-24,11121,Friday,7,6,2011,d_147,No_Event,No_Event,No_Event,No_Event,0,0,0,0
147,2011-06-25,11122,Saturday,1,6,2011,d_148,No_Event,No_Event,No_Event,No_Event,0,0,0,0
148,2011-06-26,11122,Sunday,2,6,2011,d_149,No_Event,No_Event,No_Event,No_Event,0,0,0,0
149,2011-06-27,11122,Monday,3,6,2011,d_150,No_Event,No_Event,No_Event,No_Event,0,0,0,0
150,2011-06-28,11122,Tuesday,4,6,2011,d_151,No_Event,No_Event,No_Event,No_Event,0,0,0,0
151,2011-06-29,11122,Wednesday,5,6,2011,d_152,No_Event,No_Event,No_Event,No_Event,0,0,0,0
152,2011-06-30,11122,Thursday,6,6,2011,d_153,No_Event,No_Event,No_Event,No_Event,0,0,0,0
153,2011-07-01,11122,Friday,7,7,2011,d_154,No_Event,No_Event,No_Event,No_Event,1,1,0,0
154,2011-07-02,11123,Saturday,1,7,2011,d_155,No_Event,No_Event,No_Event,No_Event,1,0,1,0
155,2011-07-03,11123,Sunday,2,7,2011,d_156,No_Event,No_Event,No_Event,No_Event,1,1,1,0
156,2011-07-04,11123,Monday,3,7,2011,d_157,IndependenceDay,National,No_Event,No_Event,1,0,0,1
157,2011-07-05,11123,Tuesday,4,7,2011,d_158,No_Event,No_Event,No_Event,No_Event,1,1,1,0
158,2011-07-06,11123,Wednesday,5,7,2011,d_159,No_Event,No_Event,No_Event,No_Event,1,1,1,0
159,2011-07-07,11123,Thursday,6,7,2011,d_160,No_Event,No_Event,No_Event,No_Event,1,1,0,0
160,2011-07-08,11123,Friday,7,7,2011,d_161,No_Event,No_Event,No_Event,No_Event,1,0,1,0
161,2011-07-09,11124,Saturday,1,7,2011,d_162,No_Event,No_Event,No_Event,No_Event,1,1,1,0
162,2011-07-10,11124,Sunday,2,7,2011,d_163,No_Event,No_Event,No_Event,No_Event,1,0,0,0
163,2011-07-11,11124,Monday,3,7,2011,d_164,No_Event,No_Event,No_Event,No_Event,0,1,1,0
164,2011-07-12,11124,Tuesday,4,7,2011,d_165,No_Event,No_Event,No_Event,No_Event,0,1,1,0
165,2011-07-13,11124,Wednesday,5,7,2011,d_166,No_Event,No_Event,No_Event,No_Event,0,1,0,0
166,2011-07-14,11124,Thursday,6,7,2011,d_167,No_Event,No_Event,No_Event,No_Event,0,0,1,0
167,2011-07-15,11124,Friday,7,7,2011,d_168,No_Event,No_Event,No_Event,No_Event,0,1,1,0
168,2011-07-16,11125,Saturday,1,7,2011,d_169,No_Event,No_Event,No_Event,No_Event,0,0,0,0
169,2011-07-17,11125,Sunday,2,7,2011,d_170,No_Event,No_Event,No_Event,No_Event,0,0,0,0
170,2011-07-18,11125,Monday,3,7,2011,d_171,No_Event,No_Event,No_Event,No_Event,0,0,0,0
171,2011-07-19,11125,Tuesday,4,7,2011,d_172,No_Event,No_Event,No_Event,No_Event,0,0,0,0
172,2011-07-20,11125,Wednesday,5,7,2011,d_173,No_Event,No_Event,No_Event,No_Event,0,0,0,0
173,2011-07-21,11125,Thursday,6,7,2011,d_174,No_Event,No_Event,No_Event,No_Event,0,0,0,0
174,2011-07-22,11125,Friday,7,7,2011,d_175,No_Event,No_Event,No_Event,No_Event,0,0,0,0
175,2011-07-23,11126,Saturday,1,7,2011,d_176,No_Event,No_Event,No_Event,No_Event,0,0,0,0
176,2011-07-24,11126,Sunday,2,7,2011,d_177,No_Event,No_Event,No_Event,No_Event,0,0,0,0
177,2011-07-25,11126,Monday,3,7,2011,d_178,No_Event,No_Event,No_Event,No_Event,0,0,0,0
178,2011-07-26,11126,Tuesday,4,7,2011,d_179,No_Event,No_Event,No_Event,No_Event,0,0,0,0
179,2011-07-27,11126,Wednesday,5,7,2011,d_180,No_Event,No_Event,No_Event,No_Event,0,0,0,0
180,2011-07-28,11126,Thursday,6,7,2011,d_181,No_Event,No_Event,No_Event,No_Event,0,0,0,0
181,2011-07-29,11126,Friday,7,7,2011,d_182,No_Event,No_Event,No_Event,No_Event,0,0,0,0
182,2011-07-30,11127,Saturday,1,7,2011,d_183,No_Event,No_Event,No_Event,No_Event,0,0,0,0
183,2011-07-31,11127,Sunday,2,7,2011,d_184,No_Event,No_Event,No_Event,No_Event,0,0,0,0
184,2011-08-01,11127,Monday,3,8,2011,d_185,Ramadan starts,Religious,No_Event,No_Event,1,1,0,1
185,2011-08-02,11127,Tuesday,4,8,2011,d_186,No_Event,No_Event,No_Event,No_Event,1,0,1,0
186,2011-08-03,11127,Wednesday,5,8,2011,d_187,No_Event,No_Event,No_Event,No_Event,1,1,1,0
187,2011-08-04,11127,Thursday,6,8,2011,d_188,No_Event,No_Event,No_Event,No_Event,1,0,0,0
188,2011-08-05,11127,Friday,7,8,2011,d_189,No_Event,No_Event,No_Event,No_Event,1,1,1,0
189,2011-08-06,11128,Saturday,1,8,2011,d_190,No_Event,No_Event,No_Event,No_Event,1,1,1,0
190,2011-08-07,11128,Sunday,2,8,2011,d_191,No_Event,No_Event,No_Event,No_Event,1,1,0,0
191,2011-08-08,11128,Monday,3,8,2011,d_192,No_Event,No_Event,No_Event,No_Event,1,0,1,0
192,2011-08-09,11128,Tuesday,4,8,2011,d_193,No_Event,No_Event,No_Event,No_Event,1,1,1,0
193,2011-08-10,11128,Wednesday,5,8,2011,d_194,No_Event,No_Event,No_Event,No_Event,1,0,0,0
194,2011-08-11,11128,Thursday,6,8,2011,d_195,No_Event,No_Event,No_Event,No_Event,0,1,1,0
195,2011-08-12,11128,Friday,7,8,2011,d_196,No_Event,No_Event,No_Event,No_Event,0,1,1,0
196,2011-08-13,11129,Saturday,1,8,2011,d_197,No_Event,No_Event,No_Event,No_Event,0,1,0,0
197,2011-08-14,11129,Sunday,2,8,2011,d_198,No_Event,No_Event,No_Event,No_Event,0,0,1,0
198,2011-08-15,11129,Monday,3,8,2011,d_199,No_Event,No_Event,No_Event,No_Event,0,1,1,0
199,2011-08-16,11129,Tuesday,4,8,2011,d_200,No_Event,No_Event,No_Event,No_Event,0,0,0,0
200,2011-08-17,11129,Wednesday,5,8,2011,d_201,No_Event,No_Event,No_Event,No_Event,0,0,0,0
201,2011-08-18,11129,Thursday,6,8,2011,d_202,No_Event,No_Event,No_Event,No_Event,0,0,0,0
202,2011-08-19,11129,Friday,7,8,2011,d_203,No_Event,No_Event,No_Event,No_Event,0,0,0,0
203,2011-08-20,11130,Saturday,1,8,2011,d_204,No_Event,No_Event,No_Event,No_Event,0,0,0,0
204,2011-08-21,11130,Sunday,2,8,2011,d_205,No_Event,No_Event,No_Event,No_Event,0,0,0,0
205,2011-08-22,11130,Monday,3,8,2011,d_206,No_Event,No_Event,No_Event,No_Event,0,0,0,0
206,2011-08-23,11130,Tuesday,4,8,2011,d_207,No_Event,No_Event,No_Event,No_Event,0,0,0,0
207,2011-08-24,11130,Wednesday,5,8,2011,d_208,No_Event,No_Event,No_Event,No_Event,0,0,0,0
208,2011-08-25,11130,Thursday,6,8,2011,d_209,No_Event,No_Event,No_Event,No_Event,0,0,0,0
209,2011-08-26,11130,Friday,7,8,2011,d_210,No_Event,No_Event,No_Event,No_Event,0,0,0,0
210,2011-08-27,11131,Saturday,1,8,2011,d_211,No_Event,No_Event,No_Event,No_Event,0,0,0,0
211,2011-08-28,11131,Sunday,2,8,2011,d_212,No_Event,No_Event,No_Event,No_Event,0,0,0,0
212,2011-08-29,11131,Monday,3,8,2011,d_213,No_Event,No_Event,No_Event,No_Event,0,0,0,0
213,2011-08-30,11131,Tuesday,4,8,2011,d_214,No_Event,No_Event,No_Event,No_Event,0,0,0,0
214,2011-08-31,11131,Wednesday,5,8,2011,d_215,Eid al-Fitr,Religious,No_Event,No_Event,0,0,0,1
215,2011-09-01,11131,Thursday,6,9,2011,d_216,No_Event,No_Event,No_Event,No_Event,1,1,0,0
216,2011-09-02,11131,Friday,7,9,2011,d_217,No_Event,No_Event,No_Event,No_Event,1,0,1,0
217,2011-09-03,11132,Saturday,1,9,2011,d_218,No_Event,No_Event,No_Event,No_Event,1,1,1,0
218,2011-09-04,11132,Sunday,2,9,2011,d_219,No_Event,No_Event,No_Event,No_Event,1,0,0,0
219,2011-09-05,11132,Monday,3,9,2011,d_220,LaborDay,National,No_Event,No_Event,1,1,1,1
220,2011-09-06,11132,Tuesday,4,9,2011,d_221,No_Event,No_Event,No_Event,No_Event,1,1,1,0
221,2011-09-07,11132,Wednesday,5,9,2011,d_222,No_Event,No_Event,No_Event,No_Event,1,1,0,0
222,2011-09-08,11132,Thursday,6,9,2011,d_223,No_Event,No_Event,No_Event,No_Event,1,0,1,0
223,2011-09-09,11132,Friday,7,9,2011,d_224,No_Event,No_Event,No_Event,No_Event,1,1,1,0
224,2011-09-10,11133,Saturday,1,9,2011,d_225,No_Event,No_Event,No_Event,No_Event,1,0,0,0
225,2011-09-11,11133,Sunday,2,9,2011,d_226,No_Event,No_Event,No_Event,No_Event,0,1,1,0
226,2011-09-12,11133,Monday,3,9,2011,d_227,No_Event,No_Event,No_Event,No_Event,0,1,1,0
227,2011-09-13,11133,Tuesday,4,9,2011,d_228,No_Event,No_Event,No_Event,No_Event,0,1,0,0
228,2011-09-14,11133,Wednesday,5,9,2011,d_229,No_Event,No_Event,No_Event,No_Event,0,0,1,0
229,2011-09-15,11133,Thursday,6,9,2011,d_230,No_Event,No_Event,No_Event,No_Event,0,1,1,0
230,2011-09-16,11133,Friday,7,9,2011,d_231,No_Event,No_Event,No_Event,No_Event,0,0,0,0
231,2011-09-17,11134,Saturday,1,9,2011,d_232,No_Event,No_Event,No_Event,No_Event,0,0,0,0
232,2011-09-18,11134,Sunday,2,9,2011,d_233,No_Event,No_Event,No_Event,No_Event,0,0,0,0
233,2011-09-19,11134,Monday,3,9,2011,d_234,No_Event,No_Event,No_Event,No_Event,0,0,0,0
234,2011-09-20,11134,Tuesday,4,9,2011,d_235,No_Event,No_Event,No_Event,No_Event,0,0,0,0
235,2011-09-21,11134,Wednesday,5,9,2011,d_236,No_Event,No_Event,No_Event,No_Event,0,0,0,0
236,2011-09-22,11134,Thursday,6,9,2011,d_237,No_Event,No_Event,No_Event,No_Event,0,0,0,0
237,2011-09-23,11134,Friday,7,9,2011,d_238,No_Event,No_Event,No_Event,No_Event,0,0,0,0
238,2011-09-24,11135,Saturday,1,9,2011,d_239,No_Event,No_Event,No_Event,No_Event,0,0,0,0
239,2011-09-25,11135,Sunday,2,9,2011,d_240,No_Event,No_Event,No_Event,No_Event,0,0,0,0
240,2011-09-26,11135,Monday,3,9,2011,d_241,No_Event,No_Event,No_Event,No_Event,0,0,0,0
241,2011-09-27,11135,Tuesday,4,9,2011,d_242,No_Event,No_Event,No_Event,No_Event,0,0,0,0
242,2011-09-28,11135,Wednesday,5,9,2011,d_243,No_Event,No_Event,No_Event,No_Event,0,0,0,0
243,2011-09-29,11135,Thursday,6,9,2011,d_244,No_Event,No_Event,No_Event,No_Event,0,0,0,0
244,2011-09-30,11135,Friday,7,9,2011,d_245,No_Event,No_Event,No_Event,No_Event,0,0,0,0
245,2011-10-01,11136,Saturday,1,10,2011,d_246,No_Event,No_Event,No_Event,No_Event,1,1,0,0
