,d,sales,date,weekday,month,year,event_name_1,event_type_1,event_name_2,event_type_2,is_event,rolling_7,rolling_28
18,d_19,21443,2011-02-16,Wednesday,2,2011,No_Event,No_Event,No_Event,No_Event,0,26961.571428571428,
19,d_20,20318,2011-02-17,Thursday,2,2011,No_Event,No_Event,No_Event,No_Event,0,26470.428571428572,
20,d_21,23721,2011-02-18,Friday,2,2011,No_Event,No_Event,No_Event,No_Event,0,26081.285714285714,
21,d_22,31689,2011-02-19,Saturday,2,2011,No_Event,No_Event,No_Event,No_Event,0,25632.14285714286,
22,d_23,29283,2011-02-20,Sunday,2,2011,No_Event,No_Event,No_Event,No_Event,0,24618.285714285714,
23,d_24,23966,2011-02-21,Monday,2,2011,PresidentsDay,National,No_Event,No_Event,1,24927.14285714286,
24,d_25,20501,2011-02-22,Tuesday,2,2011,No_Event,No_Event,No_Event,No_Event,0,24417.285714285714,
25,d_26,20757,2011-02-23,Wednesday,2,2011,No_Event,No_Event,No_Event,No_Event,0,24319.285714285714,
26,d_27,20277,2011-02-24,Thursday,2,2011,No_Event,No_Event,No_Event,No_Event,0,24313.428571428572,
27,d_28,22529,2011-02-25,Friday,2,2011,No_Event,No_Event,No_Event,No_Event,0,24143.14285714286,26238.678571428572
28,d_29,29908,2011-02-26,Saturday,2,2011,No_Event,No_Event,No_Event,No_Event,0,23888.714285714286,26141.428571428572
29,d_30,28707,2011-02-27,Sunday,2,2011,No_Event,No_Event,No_Event,No_Event,0,23806.428571428572,26032.785714285714
30,d_31,21240,2011-02-28,Monday,2,2011,No_Event,No_Event,No_Event,No_Event,0,23417.0,25941.964285714286
31,d_32,22872,2011-03-01,Tuesday,3,2011,No_Event,No_Event,No_Event,No_Event,0,23755.714285714286,25851.25
32,d_33,22046,2011-03-02,Wednesday,3,2011,No_Event,No_Event,No_Event,No_Event,0,23939.85714285714,25954.821428571428
33,d_34,23475,2011-03-03,Thursday,3,2011,No_Event,No_Event,No_Event,No_Event,0,24396.714285714286,25749.964285714286
34,d_35,23572,2011-03-04,Friday,3,2011,No_Event,No_Event,No_Event,No_Event,0,24545.714285714286,25591.464285714286
35,d_36,31202,2011-03-05,Saturday,3,2011,No_Event,No_Event,No_Event,No_Event,0,24730.571428571428,25351.10714285714
36,d_37,34876,2011-03-06,Sunday,3,2011,No_Event,No_Event,No_Event,No_Event,0,25611.85714285714,25427.535714285714
37,d_38,24562,2011-03-07,Monday,3,2011,No_Event,No_Event,No_Event,No_Event,0,26086.428571428572,25391.464285714286
38,d_39,22752,2011-03-08,Tuesday,3,2011,No_Event,No_Event,No_Event,No_Event,0,26069.285714285714,25380.071428571428
39,d_40,22560,2011-03-09,Wednesday,3,2011,LentStart,Religious,No_Event,No_Event,1,26142.714285714286,25340.85714285714
40,d_41,22626,2011-03-10,Thursday,3,2011,No_Event,No_Event,No_Event,No_Event,0,26021.428571428572,25300.5
41,d_42,25572,2011-03-11,Friday,3,2011,No_Event,No_Event,No_Event,No_Event,0,26307.14285714286,25269.321428571428
42,d_43,32225,2011-03-12,Saturday,3,2011,No_Event,No_Event,No_Event,No_Event,0,26453.285714285714,25176.178571428572
43,d_44,31417,2011-03-13,Sunday,3,2011,No_Event,No_Event,No_Event,No_Event,0,25959.14285714286,24998.928571428572
44,d_45,24935,2011-03-14,Monday,3,2011,No_Event,No_Event,No_Event,No_Event,0,26012.428571428572,25110.75
45,d_46,24021,2011-03-15,Tuesday,3,2011,No_Event,No_Event,No_Event,No_Event,0,26193.714285714286,25109.0
46,d_47,22765,2011-03-16,Wednesday,3,2011,LentWeek2,Religious,No_Event,No_Event,1,26223.0,25156.214285714286
47,d_48,21779,2011-03-17,Thursday,3,2011,StPatricksDay,Cultural,No_Event,No_Event,1,26102.0,25208.39285714286
48,d_49,23855,2011-03-18,Friday,3,2011,No_Event,No_Event,No_Event,No_Event,0,25856.714285714286,25213.178571428572
49,d_50,30599,2011-03-19,Saturday,3,2011,No_Event,No_Event,No_Event,No_Event,0,25624.428571428572,25174.25
50,d_51,29643,2011-03-20,Sunday,3,2011,Purim End,Religious,No_Event,No_Event,1,25371.0,25187.10714285714
51,d_52,23101,2011-03-21,Monday,3,2011,No_Event,No_Event,No_Event,No_Event,0,25109.0,25156.214285714286
52,d_53,20492,2011-03-22,Tuesday,3,2011,No_Event,No_Event,No_Event,No_Event,0,24604.85714285714,25155.89285714286
53,d_54,19230,2011-03-23,Wednesday,3,2011,No_Event,No_Event,No_Event,No_Event,0,24099.85714285714,25101.35714285714
54,d_55,18854,2011-03-24,Thursday,3,2011,No_Event,No_Event,No_Event,No_Event,0,23682.0,25050.535714285714
55,d_56,23350,2011-03-25,Friday,3,2011,No_Event,No_Event,No_Event,No_Event,0,23609.85714285714,25079.85714285714
56,d_57,29620,2011-03-26,Saturday,3,2011,No_Event,No_Event,No_Event,No_Event,0,23470.0,25069.571428571428
57,d_58,29866,2011-03-27,Sunday,3,2011,No_Event,No_Event,No_Event,No_Event,0,23501.85714285714,25110.964285714286
58,d_59,21449,2011-03-28,Monday,3,2011,No_Event,No_Event,No_Event,No_Event,0,23265.85714285714,25118.428571428572
59,d_60,19581,2011-03-29,Tuesday,3,2011,No_Event,No_Event,No_Event,No_Event,0,23135.714285714286,25000.89285714286
60,d_61,18928,2011-03-30,Wednesday,3,2011,No_Event,No_Event,No_Event,No_Event,0,23092.571428571428,24889.535714285714
61,d_62,21742,2011-03-31,Thursday,3,2011,No_Event,No_Event,No_Event,No_Event,0,23505.14285714286,24827.64285714286
62,d_63,28309,2011-04-01,Friday,4,2011,No_Event,No_Event,No_Event,No_Event,0,24213.571428571428,24996.821428571428
63,d_64,33478,2011-04-02,Saturday,4,2011,No_Event,No_Event,No_Event,No_Event,0,24764.714285714286,25078.10714285714
64,d_65,33058,2011-04-03,Sunday,4,2011,No_Event,No_Event,No_Event,No_Event,0,25220.714285714286,25013.178571428572
65,d_66,24852,2011-04-04,Monday,4,2011,No_Event,No_Event,No_Event,No_Event,0,25706.85714285714,25023.535714285714
66,d_67,23581,2011-04-05,Tuesday,4,2011,No_Event,No_Event,No_Event,No_Event,0,26278.285714285714,25053.14285714286
67,d_68,22656,2011-04-06,Wednesday,4,2011,No_Event,No_Event,No_Event,No_Event,0,26810.85714285714,25056.571428571428
68,d_69,22901,2011-04-07,Thursday,4,2011,No_Event,No_Event,No_Event,No_Event,0,26976.428571428572,25066.39285714286
69,d_70,24754,2011-04-08,Friday,4,2011,No_Event,No_Event,No_Event,No_Event,0,26468.571428571428,25037.178571428572
70,d_71,31745,2011-04-09,Saturday,4,2011,No_Event,No_Event,No_Event,No_Event,0,26221.0,25020.035714285714
71,d_72,31536,2011-04-10,Sunday,4,2011,No_Event,No_Event,No_Event,No_Event,0,26003.571428571428,25024.285714285714
72,d_73,24829,2011-04-11,Monday,4,2011,No_Event,No_Event,No_Event,No_Event,0,26000.285714285714,25020.5
73,d_74,23218,2011-04-12,Tuesday,4,2011,No_Event,No_Event,No_Event,No_Event,0,25948.428571428572,24991.821428571428
74,d_75,21611,2011-04-13,Wednesday,4,2011,No_Event,No_Event,No_Event,No_Event,0,25799.14285714286,24950.60714285714
75,d_76,21964,2011-04-14,Thursday,4,2011,No_Event,No_Event,No_Event,No_Event,0,25665.285714285714,24957.214285714286
76,d_77,25482,2011-04-15,Friday,4,2011,No_Event,No_Event,No_Event,No_Event,0,25769.285714285714,25015.321428571428
77,d_78,29234,2011-04-16,Saturday,4,2011,No_Event,No_Event,No_Event,No_Event,0,25410.571428571428,24966.571428571428
78,d_79,29787,2011-04-17,Sunday,4,2011,No_Event,No_Event,No_Event,No_Event,0,25160.714285714286,24971.714285714286
79,d_80,22389,2011-04-18,Monday,4,2011,No_Event,No_Event,No_Event,No_Event,0,24812.14285714286,24946.285714285714
80,d_81,19474,2011-04-19,Tuesday,4,2011,No_Event,No_Event,No_Event,No_Event,0,24277.285714285714,24909.928571428572
81,d_82,20188,2011-04-20,Wednesday,4,2011,No_Event,No_Event,No_Event,No_Event,0,24074.0,24944.14285714286
82,d_83,19768,2011-04-21,Thursday,4,2011,No_Event,No_Event,No_Event,No_Event,0,23760.285714285714,24976.785714285714
83,d_84,24279,2011-04-22,Friday,4,2011,No_Event,No_Event,No_Event,No_Event,0,23588.428571428572,25009.964285714286
84,d_85,29575,2011-04-23,Saturday,4,2011,No_Event,No_Event,No_Event,No_Event,0,23637.14285714286,25008.35714285714
85,d_86,24018,2011-04-24,Sunday,4,2011,OrthodoxEaster,Religious,Easter,Cultural,1,22813.0,24799.5
86,d_87,20004,2011-04-25,Monday,4,2011,No_Event,No_Event,No_Event,No_Event,0,22472.285714285714,24747.89285714286
87,d_88,18113,2011-04-26,Tuesday,4,2011,Pesach End,Religious,No_Event,No_Event,1,22277.85714285714,24695.464285714286
88,d_89,17929,2011-04-27,Wednesday,4,2011,No_Event,No_Event,No_Event,No_Event,0,21955.14285714286,24659.785714285714
89,d_90,18145,2011-04-28,Thursday,4,2011,No_Event,No_Event,No_Event,No_Event,0,21723.285714285714,24531.321428571428
90,d_91,22735,2011-04-29,Friday,4,2011,No_Event,No_Event,No_Event,No_Event,0,21502.714285714286,24332.25
91,d_92,28101,2011-04-30,Saturday,4,2011,No_Event,No_Event,No_Event,No_Event,0,21292.14285714286,24140.214285714286
92,d_93,29045,2011-05-01,Sunday,5,2011,No_Event,No_Event,No_Event,No_Event,0,22010.285714285714,23996.89285714286
93,d_94,22837,2011-05-02,Monday,5,2011,No_Event,No_Event,No_Event,No_Event,0,22415.0,23924.928571428572
94,d_95,24080,2011-05-03,Tuesday,5,2011,No_Event,No_Event,No_Event,No_Event,0,23267.428571428572,23942.75
95,d_96,20761,2011-05-04,Wednesday,5,2011,No_Event,No_Event,No_Event,No_Event,0,23672.0,23875.071428571428
96,d_97,21184,2011-05-05,Thursday,5,2011,Cinco De Mayo,Cultural,No_Event,No_Event,1,24106.14285714286,23813.75
97,d_98,24486,2011-05-06,Friday,5,2011,No_Event,No_Event,No_Event,No_Event,0,24356.285714285714,23804.178571428572
98,d_99,28412,2011-05-07,Saturday,5,2011,No_Event,No_Event,No_Event,No_Event,0,24400.714285714286,23685.14285714286
99,d_100,23688,2011-05-08,Sunday,5,2011,Mother's day,Cultural,No_Event,No_Event,1,23635.428571428572,23404.85714285714
100,d_101,25024,2011-05-09,Monday,5,2011,No_Event,No_Event,No_Event,No_Event,0,23947.85714285714,23411.821428571428
101,d_102,22231,2011-05-10,Tuesday,5,2011,No_Event,No_Event,No_Event,No_Event,0,23683.714285714286,23376.571428571428
102,d_103,22165,2011-05-11,Wednesday,5,2011,No_Event,No_Event,No_Event,No_Event,0,23884.285714285714,23396.35714285714
103,d_104,22413,2011-05-12,Thursday,5,2011,No_Event,No_Event,No_Event,No_Event,0,24059.85714285714,23412.39285714286
104,d_105,25648,2011-05-13,Friday,5,2011,No_Event,No_Event,No_Event,No_Event,0,24225.85714285714,23418.321428571428
105,d_106,28736,2011-05-14,Saturday,5,2011,No_Event,No_Event,No_Event,No_Event,0,24272.14285714286,23400.535714285714
106,d_107,31320,2011-05-15,Sunday,5,2011,No_Event,No_Event,No_Event,No_Event,0,25362.428571428572,23455.285714285714
107,d_108,22213,2011-05-16,Monday,5,2011,No_Event,No_Event,No_Event,No_Event,0,24960.85714285714,23449.0
108,d_109,19613,2011-05-17,Tuesday,5,2011,No_Event,No_Event,No_Event,No_Event,0,24586.85714285714,23453.964285714286
109,d_110,18770,2011-05-18,Wednesday,5,2011,No_Event,No_Event,No_Event,No_Event,0,24101.85714285714,23403.321428571428
110,d_111,18684,2011-05-19,Thursday,5,2011,No_Event,No_Event,No_Event,No_Event,0,23569.14285714286,23364.60714285714
111,d_112,21649,2011-05-20,Friday,5,2011,No_Event,No_Event,No_Event,No_Event,0,22997.85714285714,23270.678571428572
112,d_113,27112,2011-05-21,Saturday,5,2011,No_Event,No_Event,No_Event,No_Event,0,22765.85714285714,23182.714285714286
113,d_114,26246,2011-05-22,Sunday,5,2011,No_Event,No_Event,No_Event,No_Event,0,22041.0,23262.285714285714
114,d_115,20954,2011-05-23,Monday,5,2011,No_Event,No_Event,No_Event,No_Event,0,21861.14285714286,23296.214285714286
115,d_116,19203,2011-05-24,Tuesday,5,2011,No_Event,No_Event,No_Event,No_Event,0,21802.571428571428,23335.14285714286
116,d_117,19058,2011-05-25,Wednesday,5,2011,No_Event,No_Event,No_Event,No_Event,0,21843.714285714286,23375.464285714286
117,d_118,20480,2011-05-26,Thursday,5,2011,No_Event,No_Event,No_Event,No_Event,0,22100.285714285714,23458.85714285714
118,d_119,22481,2011-05-27,Friday,5,2011,No_Event,No_Event,No_Event,No_Event,0,22219.14285714286,23449.785714285714
119,d_120,25527,2011-05-28,Saturday,5,2011,No_Event,No_Event,No_Event,No_Event,0,21992.714285714286,23357.85714285714
120,d_121,23449,2011-05-29,Sunday,5,2011,No_Event,No_Event,No_Event,No_Event,0,21593.14285714286,23158.0
121,d_122,22538,2011-05-30,Monday,5,2011,MemorialDay,National,No_Event,No_Event,1,21819.428571428572,23147.321428571428
122,d_123,19555,2011-05-31,Tuesday,5,2011,NBAFinalsStart,Sporting,No_Event,No_Event,1,21869.714285714286,22985.714285714286
123,d_124,23165,2011-06-01,Wednesday,6,2011,No_Event,No_Event,No_Event,No_Event,0,22456.428571428572,23071.571428571428
124,d_125,22681,2011-06-02,Thursday,6,2011,No_Event,No_Event,No_Event,No_Event,0,22770.85714285714,23125.035714285714
125,d_126,26781,2011-06-03,Friday,6,2011,No_Event,No_Event,No_Event,No_Event,0,23385.14285714286,23207.0
126,d_127,30310,2011-06-04,Saturday,6,2011,No_Event,No_Event,No_Event,No_Event,0,24068.428571428572,23274.785714285714
127,d_128,31604,2011-06-05,Sunday,6,2011,No_Event,No_Event,No_Event,No_Event,0,25233.428571428572,23557.5
128,d_129,26685,2011-06-06,Monday,6,2011,No_Event,No_Event,No_Event,No_Event,0,25825.85714285714,23616.821428571428
129,d_130,25089,2011-06-07,Tuesday,6,2011,No_Event,No_Event,No_Event,No_Event,0,26616.428571428572,23718.89285714286
130,d_131,24453,2011-06-08,Wednesday,6,2011,No_Event,No_Event,No_Event,No_Event,0,26800.428571428572,23800.60714285714
131,d_132,24782,2011-06-09,Thursday,6,2011,No_Event,No_Event,No_Event,No_Event,0,27100.571428571428,23885.214285714286
132,d_133,26419,2011-06-10,Friday,6,2011,No_Event,No_Event,No_Event,No_Event,0,27048.85714285714,23912.75
133,d_134,29940,2011-06-11,Saturday,6,2011,No_Event,No_Event,No_Event,No_Event,0,26996.0,23955.75
134,d_135,31094,2011-06-12,Sunday,6,2011,NBAFinalsEnd,Sporting,No_Event,No_Event,1,26923.14285714286,23947.678571428572
135,d_136,25752,2011-06-13,Monday,6,2011,No_Event,No_Event,No_Event,No_Event,0,26789.85714285714,24074.071428571428
136,d_137,24155,2011-06-14,Tuesday,6,2011,No_Event,No_Event,No_Event,No_Event,0,26656.428571428572,24236.285714285714
137,d_138,25258,2011-06-15,Wednesday,6,2011,No_Event,No_Event,No_Event,No_Event,0,26771.428571428572,24468.0
138,d_139,22706,2011-06-16,Thursday,6,2011,No_Event,No_Event,No_Event,No_Event,0,26474.85714285714,24611.64285714286
139,d_140,24712,2011-06-17,Friday,6,2011,No_Event,No_Event,No_Event,No_Event,0,26231.0,24721.035714285714
140,d_141,28825,2011-06-18,Saturday,6,2011,No_Event,No_Event,No_Event,No_Event,0,26071.714285714286,24782.214285714286
141,d_142,26106,2011-06-19,Sunday,6,2011,Father's day,Cultural,No_Event,No_Event,1,25359.14285714286,24777.214285714286
142,d_143,24261,2011-06-20,Monday,6,2011,No_Event,No_Event,No_Event,No_Event,0,25146.14285714286,24895.321428571428
143,d_144,21810,2011-06-21,Tuesday,6,2011,No_Event,No_Event,No_Event,No_Event,0,24811.14285714286,24988.428571428572
144,d_145,21401,2011-06-22,Wednesday,6,2011,No_Event,No_Event,No_Event,No_Event,0,24260.14285714286,25072.10714285714
145,d_146,22780,2011-06-23,Thursday,6,2011,No_Event,No_Event,No_Event,No_Event,0,24270.714285714286,25154.25
146,d_147,24638,2011-06-24,Friday,6,2011,No_Event,No_Event,No_Event,No_Event,0,24260.14285714286,25231.285714285714
147,d_148,26482,2011-06-25,Saturday,6,2011,No_Event,No_Event,No_Event,No_Event,0,23925.428571428572,25265.39285714286
148,d_149,27668,2011-06-26,Sunday,6,2011,No_Event,No_Event,No_Event,No_Event,0,24148.571428571428,25416.071428571428
149,d_150,22642,2011-06-27,Monday,6,2011,No_Event,No_Event,No_Event,No_Event,0,23917.285714285714,25419.785714285714
150,d_151,19800,2011-06-28,Tuesday,6,2011,No_Event,No_Event,No_Event,No_Event,0,23630.14285714286,25428.535714285714
151,d_152,19930,2011-06-29,Wednesday,6,2011,No_Event,No_Event,No_Event,No_Event,0,23420.0,25313.0
152,d_153,21451,2011-06-30,Thursday,6,2011,No_Event,No_Event,No_Event,No_Event,0,23230.14285714286,25269.071428571428
153,d_154,31033,2011-07-01,Friday,7,2011,No_Event,No_Event,No_Event,No_Event,0,24143.714285714286,25420.928571428572
154,d_155,33001,2011-07-02,Saturday,7,2011,No_Event,No_Event,No_Event,No_Event,0,25075.0,25517.035714285714
155,d_156,29173,2011-07-03,Sunday,7,2011,No_Event,No_Event,No_Event,No_Event,0,25290.0,25430.214285714286
156,d_157,23033,2011-07-04,Monday,7,2011,IndependenceDay,National,No_Event,No_Event,1,25345.85714285714,25299.785714285714
157,d_158,26596,2011-07-05,Tuesday,7,2011,No_Event,No_Event,No_Event,No_Event,0,26316.714285714286,25353.60714285714
158,d_159,26602,2011-07-06,Wednesday,7,2011,No_Event,No_Event,No_Event,No_Event,0,27269.85714285714,25430.35714285714
159,d_160,26727,2011-07-07,Thursday,7,2011,No_Event,No_Event,No_Event,No_Event,0,28023.571428571428,25499.821428571428
160,d_161,27679,2011-07-08,Friday,7,2011,No_Event,No_Event,No_Event,No_Event,0,27544.428571428572,25544.821428571428
161,d_162,32486,2011-07-09,Saturday,7,2011,No_Event,No_Event,No_Event,No_Event,0,27470.85714285714,25635.75
162,d_163,31539,2011-07-10,Sunday,7,2011,No_Event,No_Event,No_Event,No_Event,0,27808.85714285714,25651.64285714286
163,d_164,26592,2011-07-11,Monday,7,2011,No_Event,No_Event,No_Event,No_Event,0,28317.285714285714,25681.64285714286
164,d_165,24632,2011-07-12,Tuesday,7,2011,No_Event,No_Event,No_Event,No_Event,0,28036.714285714286,25698.678571428572
165,d_166,23445,2011-07-13,Wednesday,7,2011,No_Event,No_Event,No_Event,No_Event,0,27585.714285714286,25633.928571428572
166,d_167,23447,2011-07-14,Thursday,7,2011,No_Event,No_Event,No_Event,No_Event,0,27117.14285714286,25660.39285714286
167,d_168,27349,2011-07-15,Friday,7,2011,No_Event,No_Event,No_Event,No_Event,0,27070.0,25754.571428571428
168,d_169,30869,2011-07-16,Saturday,7,2011,No_Event,No_Event,No_Event,No_Event,0,26839.0,25827.571428571428
169,d_170,30334,2011-07-17,Sunday,7,2011,No_Event,No_Event,No_Event,No_Event,0,26666.85714285714,25978.571428571428
170,d_171,24639,2011-07-18,Monday,7,2011,No_Event,No_Event,No_Event,No_Event,0,26387.85714285714,25992.071428571428
171,d_172,21931,2011-07-19,Tuesday,7,2011,No_Event,No_Event,No_Event,No_Event,0,26002.0,25996.39285714286
172,d_173,22487,2011-07-20,Wednesday,7,2011,No_Event,No_Event,No_Event,No_Event,0,25865.14285714286,26035.178571428572
173,d_174,22778,2011-07-21,Thursday,7,2011,No_Event,No_Event,No_Event,No_Event,0,25769.571428571428,26035.10714285714
174,d_175,26356,2011-07-22,Friday,7,2011,No_Event,No_Event,No_Event,No_Event,0,25627.714285714286,26096.464285714286
175,d_176,30284,2011-07-23,Saturday,7,2011,No_Event,No_Event,No_Event,No_Event,0,25544.14285714286,26232.25
176,d_177,28799,2011-07-24,Sunday,7,2011,No_Event,No_Event,No_Event,No_Event,0,25324.85714285714,26272.64285714286
177,d_178,22895,2011-07-25,Monday,7,2011,No_Event,No_Event,No_Event,No_Event,0,25075.714285714286,26281.678571428572
178,d_179,21195,2011-07-26,Tuesday,7,2011,No_Event,No_Event,No_Event,No_Event,0,24970.571428571428,26331.5
179,d_180,20504,2011-07-27,Wednesday,7,2011,No_Event,No_Event,No_Event,No_Event,0,24687.285714285714,26352.0
180,d_181,21243,2011-07-28,Thursday,7,2011,No_Event,No_Event,No_Event,No_Event,0,24468.0,26344.571428571428
181,d_182,24542,2011-07-29,Friday,7,2011,No_Event,No_Event,No_Event,No_Event,0,24208.85714285714,26112.75
182,d_183,28953,2011-07-30,Saturday,7,2011,No_Event,No_Event,No_Event,No_Event,0,24018.714285714286,25968.178571428572
183,d_184,28677,2011-07-31,Sunday,7,2011,No_Event,No_Event,No_Event,No_Event,0,24001.285714285714,25950.464285714286
184,d_185,26607,2011-08-01,Monday,8,2011,Ramadan starts,Religious,No_Event,No_Event,1,24531.571428571428,26078.10714285714
185,d_186,25475,2011-08-02,Tuesday,8,2011,No_Event,No_Event,No_Event,No_Event,0,25143.0,26038.071428571428
186,d_187,27237,2011-08-03,Wednesday,8,2011,No_Event,No_Event,No_Event,No_Event,0,26104.85714285714,26060.75
187,d_188,23713,2011-08-04,Thursday,8,2011,No_Event,No_Event,No_Event,No_Event,0,26457.714285714286,25953.10714285714
188,d_189,26594,2011-08-05,Friday,8,2011,No_Event,No_Event,No_Event,No_Event,0,26750.85714285714,25914.35714285714
189,d_190,31959,2011-08-06,Saturday,8,2011,No_Event,No_Event,No_Event,No_Event,0,27180.285714285714,25895.535714285714
190,d_191,32006,2011-08-07,Sunday,8,2011,No_Event,No_Event,No_Event,No_Event,0,27655.85714285714,25912.214285714286
191,d_192,26354,2011-08-08,Monday,8,2011,No_Event,No_Event,No_Event,No_Event,0,27619.714285714286,25903.714285714286
192,d_193,26213,2011-08-09,Tuesday,8,2011,No_Event,No_Event,No_Event,No_Event,0,27725.14285714286,25960.178571428572
193,d_194,24578,2011-08-10,Wednesday,8,2011,No_Event,No_Event,No_Event,No_Event,0,27345.285714285714,26000.64285714286
194,d_195,24708,2011-08-11,Thursday,8,2011,No_Event,No_Event,No_Event,No_Event,0,27487.428571428572,26045.678571428572
195,d_196,28544,2011-08-12,Friday,8,2011,No_Event,No_Event,No_Event,No_Event,0,27766.0,26088.35714285714
196,d_197,33003,2011-08-13,Saturday,8,2011,No_Event,No_Event,No_Event,No_Event,0,27915.14285714286,26164.571428571428
197,d_198,33909,2011-08-14,Sunday,8,2011,No_Event,No_Event,No_Event,No_Event,0,28187.0,26292.25
198,d_199,28511,2011-08-15,Monday,8,2011,No_Event,No_Event,No_Event,No_Event,0,28495.14285714286,26430.535714285714
199,d_200,25266,2011-08-16,Tuesday,8,2011,No_Event,No_Event,No_Event,No_Event,0,28359.85714285714,26549.64285714286
200,d_201,23681,2011-08-17,Wednesday,8,2011,No_Event,No_Event,No_Event,No_Event,0,28231.714285714286,26592.285714285714
201,d_202,23376,2011-08-18,Thursday,8,2011,No_Event,No_Event,No_Event,No_Event,0,28041.428571428572,26613.64285714286
202,d_203,27004,2011-08-19,Friday,8,2011,No_Event,No_Event,No_Event,No_Event,0,27821.428571428572,26636.785714285714
203,d_204,32258,2011-08-20,Saturday,8,2011,No_Event,No_Event,No_Event,No_Event,0,27715.0,26707.285714285714
204,d_205,33973,2011-08-21,Sunday,8,2011,No_Event,No_Event,No_Event,No_Event,0,27724.14285714286,26892.071428571428
205,d_206,25324,2011-08-22,Monday,8,2011,No_Event,No_Event,No_Event,No_Event,0,27268.85714285714,26978.821428571428
206,d_207,22617,2011-08-23,Tuesday,8,2011,No_Event,No_Event,No_Event,No_Event,0,26890.428571428572,27029.60714285714
207,d_208,21935,2011-08-24,Wednesday,8,2011,No_Event,No_Event,No_Event,No_Event,0,26641.0,27080.714285714286
208,d_209,21414,2011-08-25,Thursday,8,2011,No_Event,No_Event,No_Event,No_Event,0,26360.714285714286,27086.821428571428
209,d_210,24268,2011-08-26,Friday,8,2011,No_Event,No_Event,No_Event,No_Event,0,25969.85714285714,27077.035714285714
210,d_211,30383,2011-08-27,Saturday,8,2011,No_Event,No_Event,No_Event,No_Event,0,25702.0,27128.10714285714
211,d_212,30626,2011-08-28,Sunday,8,2011,No_Event,No_Event,No_Event,No_Event,0,25223.85714285714,27197.714285714286
212,d_213,22085,2011-08-29,Monday,8,2011,No_Event,No_Event,No_Event,No_Event,0,24761.14285714286,27036.214285714286
213,d_214,20350,2011-08-30,Tuesday,8,2011,No_Event,No_Event,No_Event,No_Event,0,24437.285714285714,26853.178571428572
214,d_215,21723,2011-08-31,Wednesday,8,2011,Eid al-Fitr,Religious,No_Event,No_Event,1,24407.0,26656.25
215,d_216,26299,2011-09-01,Thursday,9,2011,No_Event,No_Event,No_Event,No_Event,0,25104.85714285714,26748.60714285714
216,d_217,29208,2011-09-02,Friday,9,2011,No_Event,No_Event,No_Event,No_Event,0,25810.571428571428,26841.964285714286
217,d_218,34032,2011-09-03,Saturday,9,2011,No_Event,No_Event,No_Event,No_Event,0,26331.85714285714,26916.0
218,d_219,26925,2011-09-04,Sunday,9,2011,No_Event,No_Event,No_Event,No_Event,0,25803.14285714286,26734.535714285714
219,d_220,30158,2011-09-05,Monday,9,2011,LaborDay,National,No_Event,No_Event,1,26956.428571428572,26870.39285714286
220,d_221,26134,2011-09-06,Tuesday,9,2011,No_Event,No_Event,No_Event,No_Event,0,27782.714285714286,26867.571428571428
221,d_222,24445,2011-09-07,Wednesday,9,2011,No_Event,No_Event,No_Event,No_Event,0,28171.571428571428,26862.821428571428
222,d_223,24048,2011-09-08,Thursday,9,2011,No_Event,No_Event,No_Event,No_Event,0,27850.0,26839.25
